																																																	
xml-file	xml-ID		Titolo articolo in xml	CAVE!	Titolo PDF	Tipologia articolo	Settore	Lettera	N. articolo per app.	Rinvii a fine articolo	Rinvii all'interno dell'articolo (fino a vol. IX compreso)	Indicazione settore nel titolo art.	titolo art. integrale	titolo art. senza significato e m. morf.	Indicazione settore nel titolo art.	Etimo/etimi	Etimo 1	Etimo 2	Etimo 3	Etimo 4	Etimo 5	Etimo 6	Etimo 7	Etimo 8	Etimo 9	Etimo 10	Etimo 11	Etimo 12	Etimo 13	Etimo 14	m.morf.	Significato	Volume	Fascicolo	Data pubbl.	Nr. col. inizio	Nr. col. fine	Autore1	Autore2	Autore3	Autore4	Nome rimando 	Coord. rimando 	Note 	SGML/XML	PDF Scan	PDF Verlag	PDF Direzione	DOC
lei01	ya00001	10001.01	ab		ab		Latinismi	A			it. a. avante da -> abante; it. dentro da -> de intro; it. a. dinanzi da -> ante; it. intorno da -> tornare; it. di retro da -> retro; it. di sotto da -> subtus; venez. a. sovra da -> supra ecc.; it. da poi che -> post; it. a. astenere a -> abstinere; it. dial. avestra 'eccetto' -> extra; it.dial. avultra 'al di là' -> ultra ecc.; it. ab antico-> antiquus; it. a. ab enitio -> initium; it. ab estrinseco -> extrinsecus; it. ab eterno -> aeternus; it. ab experto -> expertus; it. ab origine -> origo; it. ab ovo -> ovum; agnon. abbík e abbok -> hic/hoc ecc.		ab 'da'	ab		ab	ab															"da"	I	1	1979	1	6	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00002	10006.06	abacus		abacus		Latinismi	A					abacus 'tavola; tavola geometrica; parte del capitello'	abacus		abacus	abacus															"tavola; tavola geometrica; parte del capitello"	I	1	1979	6	10	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00003	10010.3	abante		abante		Latinismi	A		abantiare, ante, inante			abante 'innanzi; prima'	abante		abante	abante															"innanzi; prima"	I	1	1979	10	33	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00004	10033.25	*abantiare		abantiare		Latinismi	A		abante, capere			*abantiare 'portare avanti'	*abantiare		*abantiare	*abantiare															"portare avanti"	I	1	1979	33	48	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00005	10048.22	abavus		abavus		Latinismi	A		avus			abavus 'trisavolo'	abavus		abavus	abavus															"trisavolo"	I	1	1979	48	48	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00006	10048.35	abbas, abbatis		abbas		Latinismi	A		abbatia, abbatissa 			abbas, abbatis 'padre; abate'	abbas, abbatis		abbas, abbatis	abbas	abbatis														"padre; abate"	I	1	1979	48	54	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00007	10054.38	abbatia		abbatia		Latinismi	A		abbas, abbatissa			abbatia 'ufficio di un abate, di una badessa'	abbatia		abbatia	abbatia															"ufficio di un abate, di una badessa"	I	1	1979	54	60	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00008	10060.17	abbatissa		abbatissa		Latinismi	A		abbas, abbatia			abbatissa 'badessa'	abbatissa		abbatissa	abbatissa															"badessa"	I	1	1979	60	62	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00009	10062.29	abbattere		abbattere		Latinismi	A		rab-			abbattere 'abbattere, bacchiare; buttare giù'	abbattere		abbattere	abbattere															"abbattere, bacchiare; buttare giù"	I	1	1979	62	68	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00010	10068.32	*abbiberare		abbiberare		Latinismi	A					*abbiberare 'abbeverare'	*abbiberare		*abbiberare	*abbiberare															"abbeverare"	I	1	1979	68	80	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00011	10080.32	abbreviare		abbreviare		Latinismi	A		breviare, brevis 			abbreviare 'rendere più breve'	abbreviare		abbreviare	abbreviare															"rendere più breve"	I	1	1979	80	83	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00012	10083.18	abbreviatio		abbreviatio		Latinismi	A					abbreviatio 'compendio'	abbreviatio		abbreviatio	abbreviatio															"compendio"	I	1	1979	83	83	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00013	10083.34	abbreviator		abbreviator		Latinismi	A					abbreviator 'chi abbrevia; compendiatore'	abbreviator		abbreviator	abbreviator															"chi abbrevia; compendiatore"	I	1	1979	83	83	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00014	10084.01	*abburare		abburare		Latinismi	A		burere			*abburare 'bruciare'	*abburare		*abburare	*abburare															"bruciare"	I	1	1979	84	85	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00015	10085.17	abc		abc		Latinismi	A		abecedarius			abc 'alfabeto'	abc		abc	abc															"alfabeto"	I	1	1979	85	87	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00016	10087.16	abdélla		abdella		Latinismi	A				gr.	gr. abdélla 'sanguisuga'	gr. abdélla	gr.	abdélla	abdélla															"sanguisuga"	I	1	1979	87	87	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00017	10087.38	abdicare		abdicare		Latinismi	A					abdicare 'scacciare, respingere'	abdicare		abdicare	abdicare															"scacciare, respingere"	I	1	1979	87	88	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00018	10088.34	abdomen		abdomen		Latinismi	A		pantex, venter			abdomen 'basso ventre'	abdomen		abdomen	abdomen															"basso ventre"	I	1	1979	88	89	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00019	10089.16	abecedarius		abecedarius		Latinismi	A		abc			abecedarius 'che segue l'ordine alfabetico'	abecedarius		abecedarius	abecedarius															"che segue l'ordine alfabetico"	I	1	1979	89	90	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00020	10090.13	abellana		abellana		Latinismi	A		corylus, nucella 			abellana 'nocciola (frutto dell'avellano)'	abellana		abellana	abellana															"nocciola (frutto dell'avellano)"	I	1	1979	90	92	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00021	10093.01	aberrare		aberrare		Latinismi	A					aberrare 'sviarsi, sbagliare'	aberrare		aberrare	aberrare															"sviarsi, sbagliare"	I	1	1979	93	93	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00022	10093.3	aberratio		aberratio		Latinismi	A		aberrare			aberratio f. 'diversione, distrazione'	aberratio		aberratio	aberratio														f.	"diversione, distrazione"	I	1	1979	93	94	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00023	10094.31	ab extra		ab extra		Latinismi	A		extra, in extra 			ab extra 'da fuori'	ab extra		ab extra	ab extra															"da fuori"	I	1	1979	94	94	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00024	10095.01	abhorrere		abhorrere		Latinismi	A		horrere			abhorrere 'detestare, aborrire'	abhorrere		abhorrere	abhorrere															"detestare, aborrire"	I	1	1979	95	96	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00025	10097.01	abies		abies		Latinismi	A					abies 'abete'	abies		abies	abies															"abete"	I	1	1979	97	103	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00026	10103.15	*abiéteus		abieteus		Latinismi	A		abies 			*abiéteus 'di abete'	*abiéteus		*abiéteus	*abiéteus															"di abete"	I	1	1979	103	105	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00027	10105.37	abiga		abiga		Latinismi	A					abiga 'camepizio'	abiga		abiga	abiga															"camepizio"	I	1	1979	105	106	Pfister, Max						Sostituita da omonimo supplemento	xml-Trier	PDF Scan			
					abiga2_suppl	Suppl.	Latinismi	A					abiga 'camepizio'*	abiga		abiga	abiga															"camepizio"	III - 2	32	1991	2771	2773	Zamboni, Alberto	Lupis, Antonio					Sostituisce LEI 1,105-106	xml-Trier	PDF Scan			
lei01	ya00028	10106.1	abigeator		abigeator		Latinismi	A		abigeatus, abigeus 			abigeator 'ladro di bestiame'	abigeator		abigeator	abigeator															"ladro di bestiame"	I	1	1979	106	106	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00029	10106.21	abigeatus		abigeatus		Latinismi	A		abigeator, abigeus			abigeatus 'furto di bestiame'	abigeatus		abigeatus	abigeatus															"furto di bestiame"	I	1	1979	106	106	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00030	10106.4	abigeus		abigeus		Latinismi	A		abigeator, abigeatus 			abigeus 'ladro di bestiame'	abigeus		abigeus	abigeus															"ladro di bestiame"	I	1	1979	106	106	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00031	10107.01	abinde		abinde		Latinismi	A					abinde 'da qua'	abinde		abinde	abinde															"da qua"	I	1	1979	107	107	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00032	10107.24	ab intro		ab intro		Latinismi	A					ab intro 'da dentro'	ab intro		ab intro	ab intro															"da dentro"	I	1	1979	107	107	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00033	10108.01	abjectio		abjectio		Latinismi	A					abjectio 'umiliazione'	abjectio		abjectio	abjectio															"umiliazione"	I	1	1979	108	108	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00034	10108.22	abjectus		abjectus		Latinismi	A					abjectus 'spregevole'	abjectus		abjectus	abjectus															"spregevole"	I	1	1979	108	109	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00035	10109.13	abjurare		abjurare		Latinismi	A					abjurare 'negare con giuramento'	abjurare		abjurare	abjurare															"negare con giuramento"	I	1	1979	109	109	Pfister, Max							xml-Trier	PDF Scan			
lei01	ya00036	10109.48	ablatio		ablatio		Latinismi	A		ablatus			ablatio 'l'azione di togliere qc., estrazione'	ablatio		ablatio	ablatio															"l'azione di togliere qc., estrazione"	I	1	1979	109	110	Pfister, Max							xml-Trier	PDF Scan			
